Rank,Country,Stability,Rights,Health,Safety,Climate,Costs,Popularity,Total
1,Australia,87,94,87,100,90,23,41,76
2,Hong Kong *,79,82,100,97,49,61,52,75
3,San Marino,83,82,91,87,62,61,46,74
4,Switzerland,91,99,93,99,34,44,40,73
5,Macao *,89,69,100,93,48,61,50,73
6,Spain,68,73,87,95,74,43,68,72
7,Bermuda *,90,78,96,93,68,34,35,72
8,Malta,87,69,91,92,75,41,44,71
9,Singapore,83,89,79,100,45,55,42,71
10,Luxembourg,94,98,85,100,25,46,42,71
11,Japan,87,88,92,97,54,27,41,70
12,South Korea,83,76,92,94,56,42,41,70
13,Germany,84,95,96,95,21,44,42,70
14,Portugal,80,76,82,93,68,44,38,69
15,Austria,85,90,97,98,27,37,43,69
16,Norway,88,99,90,99,17,42,37,69
17,Cyprus,70,67,77,93,75,53,48,69
18,France,74,84,91,93,41,29,71,69
19,Sweden,88,100,85,96,20,40,37,68
20,New Zealand,90,100,81,95,36,26,37,68
21,Finland,87,100,87,93,17,46,32,68
22,United States,65,82,71,86,66,37,71,68
23,Canada,84,93,78,97,33,37,45,68
24,Uruguay,68,81,75,82,78,47,29,67
25,Netherlands,86,99,83,96,21,40,36,67
26,Denmark,87,100,85,95,17,35,41,67
27,Qatar,83,60,62,94,61,70,38,67
28,United Arab Emirates,84,64,65,93,62,67,28,67
29,Slovenia,83,72,83,96,40,57,33,66
30,Croatia,71,58,80,91,57,67,38,66
31,Greece,61,61,89,88,70,44,45,65
32,Israel,57,73,84,81,81,36,30,65
33,Czechia,81,75,90,93,22,49,40,65
34,Italy,68,66,87,89,57,30,59,64
35,Iceland,83,93,87,97,7,36,33,64
36,Belgium,76,87,88,91,20,32,40,63
37,Estonia,82,89,81,93,17,43,26,63
38,Hungary,72,57,81,89,43,56,48,63
39,Poland,69,66,79,93,27,58,52,62
40,Chile,66,77,68,86,47,54,33,62
41,Ireland,84,92,82,96,2,35,36,62
42,Bulgaria,68,51,81,85,49,62,39,62
43,United Kingdom,77,91,78,95,6,34,44,61
44,Latvia,78,75,77,87,19,55,23,60
45,Bahrain,63,46,61,92,63,72,29,60
46,Lithuania,78,78,82,89,20,43,23,60
47,Slovakia,73,67,77,89,35,42,34,60
48,Saudi Arabia,57,45,61,89,52,76,44,59
49,North Macedonia,57,48,70,87,57,64,36,59
50,Romania,65,56,73,88,37,68,24,59
51,Oman,70,47,64,91,43,68,32,59
52,Maldives,69,40,72,88,63,59,18,58
53,Malaysia,71,57,61,90,44,46,44,58
54,China,69,36,67,90,54,38,73,58
55,Costa Rica,71,67,64,73,44,46,32,58
56,Georgia,46,62,67,87,45,58,36,57
57,Samoa,76,62,50,83,46,58,14,57
58,Kuwait,69,46,66,88,32,74,26,57
59,Thailand,63,39,65,96,46,55,42,56
60,Montenegro,50,52,68,85,53,61,25,56
61,Paraguay,57,35,51,75,78,66,35,56
62,Argentina,40,42,79,78,78,41,34,55
63,Tunisia,39,47,60,82,79,47,40,55
64,Ecuador,64,38,60,88,57,61,25,55
65,Morocco,56,39,53,86,81,45,37,55
66,Albania,60,43,64,85,55,57,26,55
67,Sri Lanka,50,42,62,92,57,56,33,55
68,Peru,55,42,54,84,70,50,34,55
69,Bosnia and Herzegovina,49,38,69,86,49,70,26,54
70,Jordan,53,47,60,77,52,63,28,54
71,Turkey,34,36,64,87,62,59,50,54
72,Mongolia,58,43,60,72,44,70,31,54
73,Serbia,55,43,71,88,51,57,11,54
74,Armenia,33,51,70,93,50,57,23,53
75,Rwanda,71,49,27,72,61,58,36,53
76,Senegal,63,45,33,91,52,56,35,52
77,Algeria,36,24,61,97,77,55,37,52
78,Indonesia,63,46,39,98,40,54,39,52
79,Kazakhstan,55,35,69,82,40,60,33,52
80,Moldova,56,42,67,84,40,62,15,52
81,Vietnam,69,34,54,76,52,51,34,52
82,Timor-Leste,66,40,42,42,73,67,23,52
83,South Africa,41,54,31,43,95,49,40,52
84,Bolivia,60,26,45,68,85,51,33,51
85,India,52,45,35,79,62,45,49,51
86,Trinidad and Tobago,69,49,61,39,51,48,30,51
87,Dominican Republic,53,43,52,68,61,49,30,51
88,Ukraine,44,36,71,82,33,60,39,50
89,Mexico,49,33,54,52,82,34,53,50
90,Jamaica,56,52,51,37,73,47,18,50
91,Egypt,41,28,44,83,67,59,45,50
92,Tanzania,53,34,21,58,88,56,46,50
93,Madagascar,48,27,22,86,77,66,33,49
94,Russia,49,24,74,74,33,62,43,49
95,Brazil,37,44,63,60,65,44,32,49
96,Malawi,45,39,20,78,83,50,39,49
97,Nepal,54,36,34,89,56,57,28,49
98,Ghana,48,49,26,95,56,42,38,49
99,Kenya,41,34,25,72,90,45,43,48
100,Suriname,44,43,50,73,35,62,37,48
101,Laos,71,20,30,77,48,73,35,48
102,Pakistan,29,27,31,92,72,63,40,48
103,Azerbaijan,48,27,70,38,56,64,19,47
104,Philippines,52,38,45,67,49,46,35,47
105,Gambia,48,37,21,79,57,58,31,46
106,Colombia,45,44,62,30,55,46,28,46
107,Guatemala,54,26,44,71,61,45,26,46
108,Bangladesh,45,25,44,74,50,61,33,46
109,Honduras,45,24,46,43,78,57,23,45
110,Kyrgyzstan,36,25,57,58,48,71,25,45
111,Lebanon,13,21,65,76,71,41,45,45
112,Cambodia,59,18,28,68,52,66,35,45
113,Zambia,38,33,18,61,68,58,47,44
114,Uganda,49,29,14,62,71,57,37,44
115,El Salvador,58,36,49,21,66,50,14,44
116,Belarus,38,24,82,80,22,40,37,44
117,Gabon,49,26,32,52,44,46,73,43
118,Lesotho,39,38,12,24,89,57,37,43
119,Togo,53,29,12,75,51,54,39,43
120,Tajikistan,52,12,53,58,48,51,34,42
121,Ivory Coast,49,36,11,58,53,57,37,42
122,Iran,22,13,60,78,58,43,41,42
123,Nicaragua,48,14,45,72,61,41,25,42
124,Burundi,33,11,9,62,76,66,54,42
125,Sierra Leone,40,33,6,69,43,64,47,41
126,Ethiopia,26,29,16,31,81,63,42,41
127,Zimbabwe,32,14,13,74,92,37,36,40
128,Burma,25,13,32,63,50,73,33,39
129,Angola,27,26,10,55,63,53,31,37
130,Mozambique,37,25,10,4,81,53,35,36
131,Afghanistan,28,6,20,19,64,63,63,36
132,Iraq,17,14,42,29,37,75,33,35
133,Cameroon,43,19,9,27,60,51,34,34
134,Nigeria,21,23,12,23,54,57,39,32
135,Chad,46,11,0,31,50,49,44,32
136,Sudan,7,10,18,55,40,66,24,30
137,Congo (Dem. Republic),35,8,6,10,54,60,36,29